Model,Accuracy,Precision,Recall,F1
efficientnet_b3 v1 (best),0.8230448686888264,0.8336914870598555,0.8230448686888264,0.8238391276963942
efficientnet_b0 v1 (best),0.8631165810640566,0.8718351520947483,0.8631165810640566,0.8650568375393748
resnet_attention v1 (best),0.9775172012791936,0.977788527456702,0.9775172012791936,0.9775176353219992
mobilenet v3 (best),0.8996995832929547,0.905183226146132,0.8996995832929547,0.9004659727240971
mobilenet v2 (best),0.8782827793390833,0.8855053240482296,0.8782827793390833,0.8779430149161251
resnet18 v1 (best),0.8230448686888264,0.8477303066366929,0.8230448686888264,0.829590783629879
