Model,Accuracy,Precision,Recall,F1
efficientnet_b3 v1 (best),0.8254675840682236,0.83518316664288,0.8254675840682236,0.8261848629186512
efficientnet_b0 v1 (best),0.8571567012307394,0.8691170304967226,0.8571567012307394,0.8600868297740082
resnet_attention v1 (best),0.9793584649675356,0.9794859591112602,0.9793584649675356,0.9793551491348536
mobilenet v3 (best),0.8963562360693865,0.9023686234595492,0.8963562360693865,0.8970918418682289
mobilenet v2 (best),0.8806085861033046,0.8831255039433692,0.8806085861033046,0.8800127641076552
resnet18 v1 (best),0.8271150305262138,0.8468739094335592,0.8271150305262138,0.8316336152860762
